,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
303,304,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,496.0,0.123,768.0,512.0,,,,66.02,,,,,85.25,69.3,
304,305,[Hakim-unsup](https://huggingface.co/MCINext/Hakim-unsup),100%,475.0,0.124,768.0,512.0,,,,66.99,,,,,82.55,67.67,
305,306,[Hakim-small](https://huggingface.co/MCINext/Hakim-small),100%,148.0,0.039,512.0,512.0,,,,63.95,,,,,86.69,64.99,
306,306,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,131.0,0.034,384.0,8192.0,,,,66.39,,,39.44,54.02,66.03,,
307,308,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,63.19,,,,,80.71,52.73,
308,309,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,86.0,0.023,768.0,512.0,,,,,,,,,,46.67,
309,310,[nb-bert-large](https://huggingface.co/NbAiLab/nb-bert-large),100%,1359.0,0.355,1024.0,512.0,,,4.53,64.77,,,,,,,
310,311,[m3e-base](https://huggingface.co/moka-ai/m3e-base),99%,390.0,0.102,768.0,512.0,,,,54.67,,,,47.6,,66.42,76.97
311,312,[nb-bert-base](https://huggingface.co/NbAiLab/nb-bert-base),100%,681.0,0.178,768.0,512.0,,,9.88,64.23,,,,,,,
312,313,[FollowIR-7B](https://huggingface.co/jhu-clsp/FollowIR-7B),100%,13813.0,7.111,,,,,,,,12.15,,,,,
313,314,[QZhou-Embedding-Zh](http://huggingface.co/Kingsoft-LLM/QZhou-Embedding-Zh),100%,29431.0,7.576,1792.0,8192.0,,,,,,,,,68.27,93.46,89.98
314,315,[Yuan-embedding-2.0-zh](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-zh),99%,1242.0,0.327,1792.0,512.0,,,,,,,,,71.14,95.22,83.57
315,316,[Youtu-Embedding](https://huggingface.co/tencent/Youtu-Embedding),99%,,2.673,2048.0,8192.0,,,,,,,,,73.15,91.94,83.18
316,317,[m3e-large](https://huggingface.co/moka-ai/m3e-large),99%,,0.326,768.0,512.0,,,,49.8,,,,49.88,,61.33,74.16
317,318,[ritrieve_zh_v1](https://huggingface.co/richinfoai/ritrieve_zh_v1),91%,1242.0,0.326,1792.0,512.0,,,,,,,,,68.47,92.32,81.43
318,319,[flan-t5-large](https://huggingface.co/google/flan-t5-large),100%,2987.0,0.783,,,,,,,,4.72,,,,,
319,320,[fabert](https://huggingface.co/sbunlp/fabert),100%,475.0,0.124,768.0,512.0,,,,54.71,,,,,77.43,38.26,
320,321,[monot5-3b-msmarco-10k](https://huggingface.co/castorini/monot5-3b-msmarco-10k),⚠️ NA,,2.95,,,,,,,,2.53,,,,,
321,322,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100%,621.0,0.163,768.0,512.0,,,,60.13,,,,,73.86,28.08,
322,323,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,516.0,0.135,768.0,768.0,,,,,,,,,,39.15,33.31
323,324,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100%,469.0,0.123,768.0,512.0,,,,60.32,,,,,73.95,25.67,
324,325,[sentence-bert-swedish-cased](https://huggingface.co/KBLab/sentence-bert-swedish-cased),⚠️ NA,476.0,0.125,768.0,384.0,,,14.08,50.95,,,,,,,
325,326,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,512.0,,,,53.3,,,,,73.28,24.63,
326,327,[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh),100%,1242.0,0.335,1024.0,512.0,,,,67.93,,,,,,74.06,78.51
327,328,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100%,451.0,0.118,768.0,514.0,,,,52.08,,,,,72.11,22.3,
328,329,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),99%,27625.0,7.242,4096.0,32768.0,,,,,,,,,,54.22,
329,330,[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh),100%,390.0,0.109,768.0,512.0,,,,66.14,,,,,,72.07,78.66
330,331,[flan-t5-base](https://huggingface.co/google/flan-t5-base),100%,944.0,0.248,,,,,,,,0.64,,,,,
331,332,monot5-base-msmarco-10k,⚠️ NA,,0.297,,,,,,,,-1.74,,,,,
332,333,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,127.0,0.033,512.0,512.0,,,,61.81,,,,,,68.95,76.48
333,334,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100%,621.0,0.163,768.0,512.0,,,,44.8,,,,,61.47,20.5,
334,335,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),99%,7671.0,4.022,2560.0,32768.0,,,,,,,,,,78.57,
335,336,[Octen-Embedding-4B](https://huggingface.co/bflhc/Octen-Embedding-4B),99%,7671.0,4.022,2560.0,32768.0,,,,,,,,,,74.64,
336,337,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,549.0,0.137,30522.0,8192.0,,,,,,,,,,47.38,
337,338,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,,,,,,,,,,56.72,
338,339,[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B),99%,1136.0,0.596,1024.0,32768.0,,,,,,,,,,73.21,
339,340,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,56.08,
340,341,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,,0.024,384.0,512.0,,,,,,,,,,39.99,
341,341,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,55.24,
342,343,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,267.0,0.066,30522.0,512.0,,,,,,,,,,46.81,
343,344,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,49.42,
344,345,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,49.24,
345,346,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,,,,,,,,52.8,
346,347,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,,,,,,,,48.19,
347,348,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,267.0,0.066,30522.0,512.0,,,,,,,,,,45.01,
348,349,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,86.0,0.023,30522.0,512.0,,,,,,,,,,44.96,
349,350,[PawanEmbd-68M](https://huggingface.co/dmedhi/PawanEmbd-68M),96%,260.0,0.068,768.0,512.0,,,,63.19,,,,78.13,,,49.2
350,351,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),99%,2166.0,0.568,1024.0,6144.0,,,,,,,,,,43.83,
351,352,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,450.0,0.118,768.0,512.0,,,,46.75,,,,54.05,,,
352,353,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99%,,0.024,512.0,512.0,,,,49.32,,,,46.65,,,
353,354,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,489.0,0.128,256.0,,,,,,,,,,,14.16,
354,355,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,7.0,0.002,64.0,,,,,,35.39,,,,,36.57,
355,356,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,2.0,0.001,64.0,,,,,,35.07,,,,,37.32,
356,357,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,30.0,0.008,256.0,,,,,,34.61,,,,,39.84,
357,358,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,2.0,0.001,64.0,,,,,,34.25,,,,,35.37,
358,359,[Ops-MoA-Yuan-embedding-1.0](https://huggingface.co/OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0),99%,1242.0,0.343,1536.0,512.0,,,,,,,,,,93.2,
359,360,[Ops-MoA-Conan-embedding-v1](https://huggingface.co/OpenSearch-AI/Ops-MoA-Conan-embedding-v1),99%,1308.0,0.343,1536.0,512.0,,,,,,,,,,92.66,
360,360,[ListConRanker](https://huggingface.co/ByteDance/ListConRanker),99%,1242.0,0.401,1024.0,512.0,,,,,,,,,69.15,,
361,362,[C2LLM-7B](https://huggingface.co/codefuse-ai/C2LLM-7B),99%,14624.0,7.667,3584.0,32768.0,,,,,,,,,,94.85,
362,363,[XYZ-embedding](https://huggingface.co/fangxq/XYZ-embedding),99%,1242.0,0.326,768.0,512.0,,,,,,,,,,90.76,
363,364,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),⚠️ NA,29040.0,7.069,3584.0,32768.0,,,,,,,,,,94.0,
364,364,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,,0.0,64.0,,,,,,32.9,,,,,17.35,
365,366,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),⚠️ NA,6776.0,1.543,1536.0,32768.0,,,,,,,,,,91.92,
366,367,[C2LLM-0.5B](https://huggingface.co/codefuse-ai/C2LLM-0.5B),99%,948.0,0.497,896.0,32768.0,,,,,,,,,,89.4,
367,368,[BiCA-base](https://huggingface.co/bisectgroup/BiCA-base),100%,418.0,0.109,768.0,512.0,,,,,,,,,,22.01,
368,369,[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),100%,568.0,0.149,768.0,8192.0,,,,,,,,,,56.53,
369,370,[colbertv2.0](https://huggingface.co/colbert-ir/colbertv2.0),100%,418.0,0.109,,180.0,,,,,,,,,,15.62,
